INSERT INTO [scPessoa].[Telefone_Pessoa] (codigo_pais, codigo_area, telefone)
VALUES
('94', '30', '30962562'),
('14', '78', '99783234'),
('34', '55', '61176762'),
('86', '34', '42035963'),
('65', '75', '13229497'),
('87', '60', '87864372'),
('25', '24', '20051279'),
('23', '36', '57340684'),
('98', '71', '36253603'),
('56', '8', '67880782'),
('44', '53', '95016970'),
('33', '3', '29948810'),
('81', '10', '26421233'),
('39', '50', '66997594'),
('15', '37', '13877718'),
('72', '4', '78169840'),
('48', '21', '96474428'),
('79', '69', '19835929'),
('96', '70', '65828044'),
('44', '35', '36248567'),
('81', '12', '47513090'),
('4', '18', '98504066'),
('54', '69', '35287242'),
('26', '37', '82121020'),
('42', '27', '15520974'),
('86', '34', '17415118'),
('40', '46', '90113722'),
('61', '3', '57550917'),
('85', '25', '96381658'),
('68', '73', '63887930'),
('10', '72', '27774136'),
('51', '59', '42432712'),
('45', '37', '97357375'),
('28', '50', '37867274'),
('72', '6', '11885104'),
('3', '46', '61628225'),
('15', '28', '38118347'),
('93', '35', '77535988'),
('52', '70', '31409978'),
('22', '70', '42108332'),
('22', '20', '90524224'),
('6', '72', '90190270'),
('7', '41', '30145559'),
('35', '68', '98396237'),
('65', '31', '87736278'),
('28', '27', '25527594'),
('8', '83', '25590906'),
('41', '69', '59756850'),
('44', '93', '42005966'),
('56', '59', '80957731'),
('1', '92', '56115969'),
('73', '24', '40809717'),
('65', '8', '51955709'),
('42', '11', '52459574'),
('57', '96', '72681669'),
('37', '82', '71069852'),
('19', '2', '99920837'),
('90', '83', '14417716'),
('11', '50', '77963816'),
('89', '57', '82369877'),
('70', '25', '59609692'),
('71', '49', '85716189'),
('61', '61', '84246811'),
('53', '44', '18031038'),
('18', '61', '99019729'),
('70', '13', '15964321'),
('14', '64', '38305825'),
('47', '73', '38467669'),
('29', '67', '24290961'),
('85', '56', '83341388'),
('88', '11', '83156176'),
('57', '82', '34333007'),
('85', '51', '32133887'),
('2', '46', '13890569'),
('6', '97', '30529266'),
('75', '93', '21169291'),
('36', '39', '56066784'),
('4', '31', '17673783'),
('15', '67', '90658973'),
('58', '83', '66354827'),
('97', '99', '19753118'),
('22', '87', '56867817'),
('67', '79', '99454080'),
('14', '46', '57328745'),
('12', '46', '60916232'),
('54', '66', '30882070'),
('67', '66', '66728888'),
('88', '23', '95793527'),
('8', '83', '93959371'),
('21', '79', '53182786'),
('77', '51', '58833424'),
('99', '74', '99617866'),
('64', '84', '12719313'),
('11', '31', '44362205'),
('10', '85', '13018951'),
('56', '31', '62767731'),
('47', '95', '93626571'),
('55', '49', '28082021'),
('33', '86', '51771711'),
('67', '74', '58049687'),
('64', '71', '58318486'),
('56', '52', '50551661'),
('74', '31', '79779008'),
('58', '60', '47708922'),
('37', '84', '25342418'),
('56', '69', '65517014'),
('1', '31', '33972157'),
('59', '57', '77342032'),
('67', '37', '87217139'),
('5', '43', '21605331'),
('53', '73', '19080564'),
('41', '54', '82767635'),
('67', '34', '55433637'),
('70', '50', '95310482'),
('92', '53', '35947633'),
('35', '61', '45146833'),
('82', '42', '75413788'),
('4', '91', '32894572'),
('84', '33', '27999980'),
('1', '97', '35845059'),
('12', '44', '62465224'),
('86', '38', '75574504'),
('4', '88', '93344993'),
('3', '10', '36364218'),
('10', '16', '96017124'),
('8', '56', '64868299'),
('59', '69', '62727003'),
('38', '60', '98922041'),
('19', '57', '33910919'),
('47', '26', '24863543'),
('63', '77', '69197344'),
('47', '43', '72958632'),
('62', '96', '36141581'),
('77', '80', '55899856'),
('30', '93', '16335985'),
('33', '6', '95129073'),
('2', '25', '99735106'),
('38', '1', '40899708'),
('17', '59', '35982119'),
('67', '92', '96979942'),
('82', '51', '87771096'),
('64', '73', '50864935'),
('36', '99', '34291092'),
('99', '8', '33837147'),
('42', '86', '82302205'),
('59', '55', '15138341'),
('70', '95', '17468144'),
('25', '72', '31108899'),
('10', '66', '75998401'),
('1', '36', '31720401'),
('68', '45', '12927814'),
('42', '31', '30707500'),
('19', '52', '69458462'),
('41', '35', '93492797'),
('91', '87', '95482836'),
('83', '90', '12942269'),
('63', '76', '40090290'),
('1', '18', '48126351'),
('84', '78', '56285684'),
('99', '50', '89576002'),
('24', '57', '61378348'),
('89', '69', '74505898'),
('29', '91', '77890656'),
('48', '76', '85906868'),
('82', '25', '97348826'),
('69', '24', '91088346'),
('62', '52', '23571035'),
('4', '98', '85647473'),
('44', '27', '11741285'),
('85', '90', '60319629'),
('7', '58', '28092976'),
('45', '48', '47181305'),
('42', '37', '81925533'),
('74', '53', '38837492'),
('52', '53', '35234112'),
('77', '10', '97245147'),
('47', '79', '16872659'),
('22', '53', '36048642'),
('67', '78', '24225953'),
('29', '53', '85166876'),
('20', '45', '65307334'),
('5', '28', '14376937'),
('61', '40', '64098930'),
('20', '12', '17828322'),
('28', '40', '84612165'),
('77', '6', '12050980'),
('73', '65', '58652182'),
('85', '74', '25239186'),
('42', '82', '83989051'),
('17', '53', '57104011'),
('30', '52', '60921593'),
('46', '67', '64007650'),
('38', '83', '11334726'),
('58', '4', '71142246'),
('46', '57', '98492425'),
('89', '40', '58984563'),
('78', '14', '11866110'),
('38', '5', '75931772'),
('67', '47', '24686854'),
('16', '28', '98730016'),
('70', '87', '19641755'),
('96', '96', '48988736'),
('32', '43', '46929831'),
('8', '9', '72423994'),
('25', '90', '28489920'),
('17', '42', '59732060'),
('32', '1', '85519594'),
('60', '63', '96603830'),
('59', '87', '21313535'),
('20', '81', '48941371'),
('83', '60', '12680102'),
('31', '89', '35640170'),
('45', '99', '43939934'),
('23', '33', '17729670'),
('56', '10', '14453723'),
('93', '88', '91916856'),
('58', '67', '24777187'),
('85', '5', '48472907'),
('66', '16', '33055028'),
('87', '60', '56903568'),
('56', '9', '16666616'),
('74', '16', '55112773'),
('77', '32', '30067365'),
('32', '35', '96961485'),
('19', '46', '83161000'),
('30', '85', '21706138'),
('48', '38', '46399384'),
('93', '53', '97720494'),
('59', '41', '80446177'),
('25', '85', '99991968'),
('32', '54', '19807194'),
('58', '27', '50631825'),
('86', '34', '50307124'),
('72', '95', '18574400'),
('57', '55', '46523592'),
('33', '66', '45487255'),
('69', '41', '81473783'),
('67', '69', '84555642'),
('30', '67', '66234878'),
('90', '97', '74896231'),
('95', '16', '75507210'),
('86', '35', '82111000'),
('57', '18', '41425367'),
('74', '58', '27257964'),
('52', '48', '90967100'),
('45', '80', '73248989'),
('48', '13', '60947661'),
('2', '58', '90711324'),
('12', '47', '93723931'),
('39', '53', '25230679'),
('72', '42', '69727998'),
('76', '24', '79970353'),
('98', '84', '78050495'),
('28', '67', '43093374'),
('72', '20', '36294822'),
('92', '52', '81086382'),
('8', '8', '58302674'),
('44', '49', '38283234'),
('46', '95', '37100179'),
('51', '43', '40440126'),
('20', '16', '68228617'),
('33', '81', '43672666'),
('96', '70', '31826267'),
('74', '5', '63179984'),
('58', '79', '65782882'),
('30', '52', '94444662'),
('1', '84', '37628149'),
('33', '51', '36168885'),
('98', '85', '33248068'),
('18', '8', '59233450'),
('55', '4', '56930420'),
('29', '93', '79288913'),
('52', '3', '63519453'),
('19', '93', '68162037'),
('54', '88', '49753594'),
('6', '54', '67354045'),
('30', '85', '72621997'),
('78', '73', '33442653'),
('38', '49', '55156327'),
('15', '41', '37358907'),
('25', '30', '95554988'),
('16', '32', '46842078'),
('94', '3', '64258841'),
('34', '33', '65841907'),
('36', '20', '67485659'),
('45', '50', '66287482'),
('11', '5', '43565886'),
('81', '88', '43862017'),
('20', '90', '74652660'),
('73', '35', '36034867'),
('99', '20', '16749960'),
('48', '87', '55151844'),
('44', '18', '76563737'),
('92', '50', '88020116'),
('41', '73', '95376539'),
('66', '91', '42933844'),
('21', '9', '48494498'),
('75', '92', '13753324'),
('64', '29', '23306816'),
('73', '33', '41534161'),
('8', '54', '57225916'),
('53', '68', '91991037'),
('35', '49', '70689648'),
('26', '23', '76413528'),
('57', '8', '80354987'),
('96', '95', '33820688'),
('75', '5', '28236964'),
('49', '98', '63618367'),
('65', '49', '59597649'),
('93', '82', '21264501'),
('28', '1', '51318728'),
('12', '89', '74808341'),
('69', '49', '56049543'),
('5', '86', '18457980'),
('98', '20', '73720663'),
('64', '1', '56916434'),
('88', '70', '11724323'),
('68', '22', '64734268'),
('24', '30', '88672414'),
('30', '48', '81769770'),
('38', '6', '62424831'),
('55', '16', '46305324'),
('79', '66', '48477958'),
('34', '67', '31514109'),
('31', '16', '76409397'),
('17', '11', '29383885'),
('13', '27', '89538465'),
('67', '29', '78673081'),
('21', '66', '71461359'),
('71', '50', '58654867'),
('54', '54', '43181860'),
('63', '95', '33877953'),
('8', '68', '75616236'),
('83', '58', '45055866'),
('63', '32', '44018918'),
('46', '95', '22173289'),
('12', '63', '75498490'),
('86', '73', '21886126'),
('17', '96', '57883105'),
('98', '47', '61476155'),
('11', '21', '13780517'),
('67', '82', '98235808'),
('25', '48', '99715048'),
('57', '37', '42175464'),
('79', '30', '38687440'),
('75', '39', '91703199'),
('45', '73', '94242216'),
('26', '20', '39992797'),
('43', '63', '30042976'),
('89', '72', '45181908'),
('36', '45', '20870577'),
('47', '61', '19676878'),
('14', '16', '22216278'),
('28', '60', '32462109'),
('14', '66', '18196377'),
('35', '86', '84957256'),
('26', '72', '13777739'),
('76', '34', '58636858'),
('2', '97', '31920504'),
('89', '94', '64550994'),
('82', '5', '19142220'),
('15', '91', '45076152'),
('14', '69', '24883164'),
('22', '46', '12942846'),
('84', '10', '72551346'),
('47', '90', '66251684'),
('28', '40', '48463974'),
('24', '22', '95482868'),
('26', '23', '87077419'),
('51', '3', '88816692'),
('92', '57', '32928016'),
('64', '67', '13602790'),
('20', '19', '73949554'),
('11', '49', '19727266'),
('36', '91', '53781421'),
('28', '22', '81059330'),
('45', '74', '25105420'),
('80', '94', '38763128'),
('27', '67', '15763638'),
('63', '89', '95123235'),
('55', '21', '83154529'),
('1', '91', '97110854'),
('81', '99', '59538910'),
('56', '58', '32775854'),
('48', '11', '19970369'),
('56', '59', '95102472'),
('25', '18', '79819428'),
('53', '86', '85394179'),
('91', '12', '45060868'),
('95', '39', '94113606'),
('8', '72', '97549745'),
('54', '95', '42542829'),
('56', '70', '56064027'),
('21', '29', '57994366'),
('44', '24', '71487789'),
('98', '20', '77246676'),
('29', '70', '27149484'),
('90', '82', '92936267'),
('91', '28', '50821003'),
('92', '79', '53454173'),
('7', '98', '43499873'),
('58', '91', '57331099'),
('31', '60', '93271763'),
('55', '48', '21028147'),
('33', '65', '65372444'),
('28', '40', '45305049'),
('19', '97', '45916662'),
('8', '99', '13135845'),
('41', '14', '17161088'),
('19', '74', '38802308'),
('64', '86', '90307282'),
('68', '19', '56729085'),
('66', '41', '98238117'),
('12', '15', '52713967'),
('52', '88', '31732888'),
('20', '17', '83686950'),
('11', '32', '17109035'),
('93', '69', '68569012'),
('42', '63', '42911670'),
('45', '62', '23296165'),
('34', '53', '80377366'),
('52', '65', '70103693'),
('74', '61', '18467054'),
('56', '2', '58609472'),
('89', '65', '42337616'),
('99', '93', '56776079'),
('18', '60', '79304117'),
('28', '84', '47220300'),
('53', '42', '56366821'),
('70', '43', '68123427'),
('66', '66', '32209768'),
('70', '17', '37074021'),
('4', '26', '45836127'),
('62', '92', '39986772'),
('20', '52', '16046474'),
('13', '34', '97814574'),
('87', '24', '14404307'),
('79', '74', '21627904'),
('73', '20', '65998351'),
('4', '71', '35414562'),
('71', '57', '68249213'),
('11', '45', '58128880'),
('6', '11', '90353932'),
('61', '71', '51382020'),
('12', '4', '67568185'),
('23', '22', '39909944'),
('47', '75', '12369436'),
('6', '79', '13355774'),
('31', '19', '53318396'),
('59', '50', '70950479'),
('37', '15', '45829545'),
('3', '41', '34000502'),
('55', '54', '62241776'),
('73', '34', '84300837'),
('37', '95', '22653213'),
('44', '62', '91356133'),
('77', '21', '92558900'),
('22', '51', '86847730'),
('98', '23', '91634625'),
('32', '63', '11347732'),
('83', '72', '35250561'),
('1', '17', '99167895'),
('75', '85', '74930239'),
('47', '43', '21538425'),
('7', '16', '94527554'),
('69', '64', '84260492'),
('11', '19', '80396355'),
('58', '48', '75219530'),
('79', '23', '88090930'),
('29', '9', '11427692'),
('54', '32', '40793882'),
('78', '39', '61311459'),
('55', '81', '27114841'),
('88', '11', '72430464'),
('4', '40', '61505520'),
('17', '57', '71828808'),
('45', '35', '48721279'),
('17', '28', '27611781'),
('45', '84', '49168800'),
('94', '46', '18214772'),
('35', '26', '29679530'),
('5', '45', '66168347'),
('15', '26', '86131832'),
('79', '83', '76176717'),
('31', '94', '19872438'),
('87', '22', '29162873'),
('75', '7', '13297798'),
('69', '72', '92847312'),
('58', '34', '34468255'),
('32', '55', '30025031'),
('96', '60', '44006971'),
('44', '82', '96553078'),
('29', '31', '56196117'),
('4', '22', '92855819'),
('46', '52', '34812593'),
('81', '82', '66290110'),
('51', '92', '50945707'),
('74', '34', '92453304'),
('35', '92', '41143740'),
('49', '10', '42469569'),
('6', '77', '37972987'),
('2', '68', '57126908'),
('25', '20', '79946548'),
('3', '62', '95290888'),
('41', '71', '96932420'),
('8', '45', '19060458'),
('28', '52', '38454291'),
('72', '67', '58379010'),
('74', '59', '41323722'),
('26', '90', '49677534'),
('58', '44', '90324199'),
('60', '73', '59377328'),
('36', '38', '39157726'),
('61', '54', '38000089'),
('74', '38', '68383960'),
('75', '3', '29047590'),
('50', '63', '35926289'),
('58', '35', '75450039'),
('11', '58', '56222052'),
('56', '32', '84964785'),
('18', '60', '22938165'),
('55', '54', '45804755'),
('89', '45', '26103124'),
('99', '56', '31072179'),
('90', '62', '21036819'),
('91', '82', '23609241'),
('89', '61', '87828127'),
('24', '62', '75160864'),
('86', '7', '83385708'),
('28', '61', '52831957'),
('48', '18', '26327349'),
('65', '68', '98990552'),
('43', '55', '78573564'),
('14', '38', '67622211'),
('91', '67', '42575766'),
('40', '34', '76870189'),
('69', '41', '50928032'),
('41', '79', '33298175'),
('82', '36', '84938689'),
('83', '23', '52873474'),
('68', '94', '65973016'),
('26', '31', '89726017'),
('59', '76', '54318753'),
('33', '51', '80440349'),
('61', '51', '18870755'),
('31', '3', '91105772'),
('91', '4', '35535281'),
('51', '3', '69624286'),
('10', '23', '94804010'),
('42', '29', '65043713'),
('97', '93', '98405582'),
('91', '10', '74590749'),
('18', '63', '88258007'),
('75', '71', '85624567'),
('65', '14', '24601631'),
('21', '16', '41483765'),
('31', '58', '42362737'),
('80', '86', '40792060'),
('40', '35', '69889740'),
('34', '63', '91117160'),
('86', '62', '83655990'),
('47', '74', '38144864'),
('45', '18', '93225792'),
('62', '31', '37868814'),
('33', '56', '47322251'),
('45', '49', '61909945'),
('47', '52', '77308441'),
('5', '59', '42251969'),
('25', '47', '38289057'),
('25', '66', '51470091'),
('32', '59', '55142141'),
('74', '99', '98115382'),
('98', '43', '61785208'),
('68', '14', '79526034'),
('95', '41', '94997749'),
('68', '39', '48671059'),
('96', '30', '42336742'),
('8', '81', '58847713'),
('36', '20', '84035427'),
('54', '69', '51832360'),
('82', '43', '36483463'),
('55', '52', '66897047'),
('82', '47', '95500018'),
('99', '19', '22860869'),
('77', '76', '50167793'),
('87', '54', '79502737'),
('32', '85', '83613064'),
('18', '11', '15965599'),
('41', '33', '40680967'),
('51', '27', '22809958'),
('97', '88', '65200511'),
('21', '17', '14778531'),
('99', '95', '37479611'),
('85', '45', '96543136'),
('75', '91', '52048137'),
('63', '11', '35791806'),
('77', '89', '72255163'),
('96', '23', '74196625'),
('40', '69', '46435891'),
('72', '32', '62441267'),
('72', '53', '16799127'),
('88', '92', '44200375'),
('47', '68', '66206401'),
('3', '14', '43265761'),
('75', '45', '18909559'),
('47', '97', '73339300'),
('24', '12', '25229539'),
('65', '58', '91174055'),
('51', '52', '17763938'),
('68', '76', '14007434'),
('76', '75', '72944004'),
('25', '81', '93445532'),
('72', '47', '42015557'),
('48', '77', '24667962'),
('76', '61', '15765587'),
('78', '40', '69521278'),
('11', '66', '15283052'),
('74', '43', '65045626'),
('81', '78', '95626688'),
('50', '60', '25438102'),
('48', '84', '67402886'),
('52', '23', '79259445'),
('46', '30', '16603551'),
('23', '91', '63494379'),
('39', '43', '67777939'),
('79', '86', '59962776'),
('49', '71', '89509369'),
('6', '77', '74040179'),
('12', '81', '27028649'),
('89', '41', '34955474'),
('15', '10', '69419535'),
('17', '10', '34894009'),
('64', '13', '65867909'),
('61', '39', '93558079'),
('28', '17', '21984750'),
('53', '76', '73397748'),
('26', '53', '56227456'),
('11', '68', '22468115'),
('34', '58', '42387732'),
('50', '49', '70979754'),
('23', '48', '18350124'),
('31', '3', '14738119'),
('80', '8', '37023527'),
('23', '69', '18977861'),
('5', '74', '56260068'),
('85', '26', '47710907'),
('3', '35', '14941897'),
('44', '66', '67957240'),
('99', '8', '33931959'),
('34', '52', '62338817'),
('48', '55', '46853337'),
('87', '13', '97259182'),
('32', '78', '87012797'),
('50', '23', '43008160'),
('97', '11', '99909558'),
('48', '19', '51905288'),
('49', '86', '84183031'),
('28', '33', '53269328'),
('72', '99', '89532265'),
('54', '84', '82601797'),
('45', '27', '96372660'),
('16', '1', '97456136'),
('63', '91', '82364635'),
('12', '41', '50714516'),
('34', '82', '98063844'),
('87', '71', '95627805'),
('43', '47', '19970225'),
('32', '62', '56492540'),
('36', '46', '68622870'),
('84', '86', '86086324'),
('19', '68', '75192274'),
('30', '30', '83252127'),
('22', '72', '21760655'),
('35', '58', '34188849'),
('51', '61', '58082459'),
('49', '7', '60133910'),
('79', '90', '40168555'),
('67', '73', '79298471'),
('28', '28', '81876033'),
('91', '30', '53154190'),
('17', '77', '65253681'),
('87', '27', '63549244'),
('30', '85', '78770710'),
('76', '83', '73551414'),
('79', '99', '26290046'),
('54', '5', '96146318'),
('41', '96', '28674111'),
('33', '62', '96008090'),
('47', '54', '64250889'),
('27', '4', '39578785'),
('84', '62', '67498596'),
('32', '54', '21096205'),
('58', '9', '91237395'),
('91', '38', '62469399'),
('57', '28', '94505282'),
('74', '16', '73897597'),
('25', '51', '27225134'),
('7', '7', '29432608'),
('74', '1', '47262633'),
('72', '78', '63572926'),
('70', '86', '21689694'),
('33', '33', '30724371'),
('64', '74', '18588419'),
('39', '88', '34409160'),
('68', '1', '91707594'),
('38', '87', '16628023'),
('72', '93', '62596450'),
('80', '42', '81435680'),
('20', '45', '29419253'),
('57', '29', '66401830'),
('82', '93', '35071998'),
('8', '8', '17595809'),
('88', '71', '23361729'),
('86', '99', '49248054'),
('56', '62', '57801532'),
('39', '19', '77117589'),
('58', '90', '57762324'),
('85', '53', '23964480'),
('95', '70', '50609665'),
('87', '1', '11985524'),
('61', '92', '11767614'),
('86', '18', '29356238'),
('43', '45', '92467446'),
('81', '83', '78574673'),
('47', '27', '72412633'),
('80', '3', '85271264'),
('74', '39', '75412769'),
('38', '39', '51988884'),
('64', '83', '56397939'),
('69', '31', '72264594'),
('31', '77', '23067537'),
('72', '40', '21175438'),
('20', '35', '53445429'),
('38', '7', '84583363'),
('79', '53', '54097786'),
('19', '60', '82168084'),
('62', '79', '49512141'),
('71', '11', '13661212'),
('12', '38', '77203322'),
('95', '13', '77218294'),
('13', '23', '52298059'),
('51', '13', '76541093'),
('75', '42', '21382078'),
('12', '3', '26009067'),
('96', '32', '87988165'),
('24', '80', '15700670'),
('2', '9', '86786573'),
('92', '25', '22575041'),
('13', '47', '82631638'),
('18', '83', '35741142'),
('32', '80', '69148066'),
('34', '91', '37384701'),
('99', '82', '81584543'),
('28', '21', '52293888'),
('11', '72', '44024145'),
('69', '3', '66196653'),
('63', '90', '77886946'),
('17', '56', '39790138'),
('34', '54', '59109747'),
('63', '32', '21076133'),
('82', '47', '42696982'),
('30', '41', '80935433'),
('65', '97', '88251133'),
('81', '14', '41432619'),
('14', '55', '71730949'),
('9', '71', '78466731'),
('18', '86', '69916748'),
('99', '44', '13354259'),
('58', '20', '46819803'),
('65', '14', '20374543'),
('39', '18', '75196536'),
('82', '60', '76057724'),
('92', '44', '89624799'),
('63', '53', '68978088'),
('38', '73', '64260050'),
('3', '22', '40573707'),
('10', '23', '20330400'),
('9', '66', '69317424'),
('51', '89', '13699876'),
('41', '55', '77145509'),
('65', '20', '54764925'),
('52', '94', '70266029'),
('87', '88', '66787173'),
('88', '96', '70212951'),
('59', '32', '43828510'),
('3', '18', '51141592'),
('70', '75', '32065272'),
('84', '11', '95226450'),
('18', '52', '96528574'),
('80', '39', '91665680'),
('69', '96', '50831556'),
('71', '89', '33304114'),
('43', '51', '58489312'),
('93', '53', '72227892'),
('21', '45', '38422081'),
('3', '75', '24029987'),
('83', '75', '57023895'),
('78', '13', '91947138'),
('90', '24', '42733436'),
('70', '79', '31559889'),
('92', '82', '17897173'),
('40', '73', '13976590'),
('17', '95', '58876173'),
('15', '34', '43292342'),
('37', '26', '75021713'),
('44', '25', '45445211'),
('45', '32', '67268888')
GO


INSERT INTO [scPessoa].[Endereco_Pessoa] (pais, estado, cidade, bairro, rua, numero, complemento, cep)
VALUES
('Brasil', 'tdhmlgo', 'fwagwvu', 'uuctbsh', 'ziktikw', '348', 'Apto 0', '24588012'),
('Brasil', 'hyuyepx', 'zsvtmfl', 'luixgmx', 'sinwxlw', '703', NULL, '2053726'),
('Brasil', 'vvktbpk', 'yxjuypu', 'pirnibf', 'qnzqghw', '986', NULL, '87831805'),
('Brasil', 'bpbubmx', 'xvyrlwm', 'yudhnkg', 'kgbztgr', '256', NULL, '5169578'),
('Brasil', 'fzevvbc', 'gobgwwt', 'hmnmjbw', 'yifzrcg', '894', NULL, '70533550'),
('Brasil', 'nwxttrz', 'kavkijg', 'wjmgajp', 'mjlmmdf', '411', 'Apto 5', '25250162'),
('Brasil', 'lqqzjwj', 'jhkzdkt', 'ekoykup', 'wsulzff', '859', NULL, '73843218'),
('Brasil', 'trzvvyb', 'kkokkfv', 'leoobjr', 'vtisnmu', '973', NULL, '5120831'),
('Brasil', 'prmdvic', 'rynfrrc', 'bqlfgdy', 'ugnejwf', '767', NULL, '26498758'),
('Brasil', 'mcdnkko', 'heyslot', 'fjcwybs', 'aerjatw', '983', NULL, '45088369'),
('Brasil', 'mmlaelv', 'lgfafol', 'etemnqk', 'xzybdrl', '143', 'Apto 10', '58336758'),
('Brasil', 'bbecwhd', 'eybcwgb', 'jzbnxhu', 'cblwgza', '997', NULL, '1928392'),
('Brasil', 'johopxl', 'qmxwlqq', 'mzinwsw', 'pitjhxa', '231', NULL, '67477894'),
('Brasil', 'zxnllwr', 'zijfvsx', 'nmbkvvo', 'hppbrob', '857', NULL, '11917816'),
